,Exp_name,Experiment,Subject,General_condition,Condition,Relative_beep,mean_asyn,std_asyn,sem_asyn,n_asyn,ci_asyn
0,Experiment2_PS_SC,3,0,16,0,-6,-4.666666666666666,26.4613624687714,8.36781753926138,10,16.400922376952302
1,Experiment2_PS_SC,3,0,16,0,-5,5.633333333333333,13.8092829754588,4.366878705623688,10,8.55908226302243
2,Experiment2_PS_SC,3,0,16,0,-4,-7.066666666666667,15.871824558468846,5.019111622735788,10,9.837458780562145
3,Experiment2_PS_SC,3,0,16,0,-3,-15.766666666666666,15.180640693062063,4.8005400930713185,10,9.409058582419782
4,Experiment2_PS_SC,3,0,16,0,-2,4.133333333333333,15.976023702202413,5.052062285179521,10,9.902042078951862
5,Experiment2_PS_SC,3,0,16,0,-1,17.733333333333334,34.27973162088641,10.840202950129667,10,21.246797782254152
6,Experiment2_PS_SC,3,0,16,0,0,31.333333333333336,25.726841437890705,8.135541594573592,10,15.945661525364244
7,Experiment2_PS_SC,3,0,16,0,1,28.53333333333333,14.253394657388085,4.507319150662167,10,8.83434553529785
8,Experiment2_PS_SC,3,0,16,0,2,17.233333333333334,25.799942578173248,8.158658204858424,10,15.990970081522512
9,Experiment2_PS_SC,3,0,16,0,3,8.133333333333331,24.183940186887725,7.6476333787843345,10,14.989361422417295
10,Experiment2_PS_SC,3,0,16,0,4,11.733333333333333,23.149034057121643,7.320367325331275,10,14.3479199576493
11,Experiment2_PS_SC,3,0,16,0,5,17.333333333333332,29.346272398785228,9.280106161589444,10,18.18900807671531
12,Experiment2_PS_SC,3,0,16,0,6,11.133333333333333,26.578534920467654,8.4048707219,10,16.473546614924
13,Experiment2_PS_SC,3,0,16,0,7,-0.16666666666666644,22.166875521154765,7.009781525628101,10,13.739171790231078
14,Experiment2_PS_SC,3,0,16,0,8,-2.166666666666667,23.649446004003906,7.47861147738199,10,14.6580784956687
15,Experiment2_PS_SC,3,0,16,0,9,8.033333333333333,25.258515249170774,7.987443850147508,10,15.655389946289114
16,Experiment2_PS_SC,3,0,16,0,10,4.2333333333333325,17.24893984933352,5.454593714713552,10,10.691003680838563
17,Experiment2_PS_SC,3,0,16,0,11,1.5333333333333328,15.607809061610913,4.935622591970579,10,9.673820280262333
18,Experiment2_PS_SC,3,0,17,1,-6,-12.430555555555555,22.3722476816695,6.458311610694434,12,12.65829075696109
19,Experiment2_PS_SC,3,0,17,1,-5,-1.597222222222222,17.706281818182944,5.1113632870376495,12,10.018272042593791
20,Experiment2_PS_SC,3,0,17,1,-4,4.152777777777778,12.408342406601346,3.581979914324168,12,7.020680632075369
21,Experiment2_PS_SC,3,0,17,1,-3,5.652777777777778,10.582160119494166,3.0548064967988395,12,5.987420733725728
22,Experiment2_PS_SC,3,0,17,1,-2,2.1527777777777777,11.723984380930817,3.384422769152688,12,6.633468627539269
23,Experiment2_PS_SC,3,0,17,1,-1,2.0694444444444446,14.011441632929731,4.044754799253355,12,7.9277194065365775
24,Experiment2_PS_SC,3,0,17,1,0,-2.3472222222222228,18.590816992025296,5.366706597400437,12,10.518744930904857
25,Experiment2_PS_SC,3,0,17,1,1,-3.763888888888889,14.675007671832754,4.236309814846232,12,8.303167237098615
26,Experiment2_PS_SC,3,0,17,1,2,3.652777777777778,13.81743488256799,3.9887498744803773,12,7.81794975398154
27,Experiment2_PS_SC,3,0,17,1,3,7.152777777777778,17.37981215003115,5.017119611642807,12,9.8335544388199
28,Experiment2_PS_SC,3,0,17,1,4,2.486111111111111,18.992217748773708,5.482581014881244,12,10.745858789167238
29,Experiment2_PS_SC,3,0,17,1,5,8.319444444444445,32.93891333642493,9.508645240799344,12,18.636944671966713
30,Experiment2_PS_SC,3,0,17,1,6,6.402777777777779,20.725412392886636,5.982911212049553,12,11.726505975617123
31,Experiment2_PS_SC,3,0,17,1,7,-13.097222222222223,22.425235867292542,6.4736079823111,12,12.688271645329754
32,Experiment2_PS_SC,3,0,17,1,8,-1.0138888888888886,32.95991277549669,9.5147072566998,12,18.64882622313161
33,Experiment2_PS_SC,3,0,17,1,9,0.9027777777777773,30.106583253814364,8.691021972984801,12,17.03440306705021
34,Experiment2_PS_SC,3,0,17,1,10,-6.263888888888888,26.485698288032992,7.6457625181355295,12,14.985694535545637
35,Experiment2_PS_SC,3,0,17,1,11,-11.847222222222223,20.536670617881082,5.928426154746161,12,11.619715263302473
36,Experiment2_PS_SC,3,0,18,2,-6,-9.93939393939394,27.417378179954152,8.266650559835014,11,16.20263509727663
37,Experiment2_PS_SC,3,0,18,2,-5,0.24242424242424268,13.215597610476047,3.9846526049333133,11,7.809919105669294
38,Experiment2_PS_SC,3,0,18,2,-4,11.151515151515152,15.162170495724355,4.571566412883147,11,8.960270169250968
39,Experiment2_PS_SC,3,0,18,2,-3,-2.3030303030303028,14.00293980678069,4.2220452091839356,11,8.275208610000513
40,Experiment2_PS_SC,3,0,18,2,-2,-2.484848484848485,10.639145367059054,3.20782302478026,11,6.287333128569309
41,Experiment2_PS_SC,3,0,18,2,-1,3.333333333333333,15.465912337927058,4.663148024130211,11,9.139770127295213
42,Experiment2_PS_SC,3,0,18,2,0,-15.212121212121213,22.193103396862693,6.691472445541404,11,13.115285993261153
43,Experiment2_PS_SC,3,0,18,2,1,-7.484848484848484,24.50560644984628,7.388718350386668,11,14.481887966757867
44,Experiment2_PS_SC,3,0,18,2,2,-9.212121212121213,20.858263871117646,6.289003185338471,11,12.326446243263403
45,Experiment2_PS_SC,3,0,18,2,3,-5.757575757575758,24.792848838633965,7.475325189249772,11,14.651637370929555
46,Experiment2_PS_SC,3,0,18,2,4,-1.393939393939394,20.3071241915071,6.122828319488937,11,12.000743506198315
47,Experiment2_PS_SC,3,0,18,2,5,6.424242424242423,26.76662138190063,8.070440002660776,11,15.818062405215121
48,Experiment2_PS_SC,3,0,18,2,6,6.06060606060606,17.259179961090066,5.2038385563778595,11,10.199523570500604
49,Experiment2_PS_SC,3,0,18,2,7,17.96969696969697,22.416117487922016,6.758713723996488,11,13.247078899033117
50,Experiment2_PS_SC,3,0,18,2,8,14.606060606060606,28.723613275421318,8.660495259803982,11,16.974570709215804
51,Experiment2_PS_SC,3,0,18,2,9,5.151515151515152,21.16738247417665,6.382205950980791,11,12.509123663922349
52,Experiment2_PS_SC,3,0,18,2,10,4.96969696969697,19.389404062502535,5.846125289446692,11,11.458405567315516
53,Experiment2_PS_SC,3,0,18,2,11,18.87878787878788,19.62482709182016,5.917108003560819,11,11.597531686979204
54,Experiment2_PS_SC,3,0,19,3,-6,-1.0499999999999994,13.328251346317614,4.214763148156932,10,8.260935770387585
55,Experiment2_PS_SC,3,0,19,3,-5,-3.95,12.223749904525823,3.8654891246567367,10,7.576358684327204
56,Experiment2_PS_SC,3,0,19,3,-4,-6.25,20.87222296158281,6.600376438946681,10,12.936737820335495
57,Experiment2_PS_SC,3,0,19,3,-3,0.25000000000000033,13.396436323621275,4.236325131205577,10,8.30319725716293
58,Experiment2_PS_SC,3,0,19,3,-2,4.85,19.106661303661596,6.042056820097271,10,11.84243136739065
59,Experiment2_PS_SC,3,0,19,3,-1,6.15,14.889396757507308,4.708440673964886,10,9.228543720971176
60,Experiment2_PS_SC,3,0,19,3,0,31.55,12.31431215905368,3.894127424091529,10,7.632489751219396
61,Experiment2_PS_SC,3,0,19,3,1,2.45,18.55157142856464,5.866521988956794,10,11.498383098355317
62,Experiment2_PS_SC,3,0,19,3,2,-9.15,24.258440048367635,7.671192303548691,10,15.035536914955433
63,Experiment2_PS_SC,3,0,19,3,3,-7.15,23.421058636498927,7.406389050369423,10,14.51652253872407
64,Experiment2_PS_SC,3,0,19,3,4,-1.6499999999999997,18.644571910569443,5.895931323619663,10,11.556025394294538
65,Experiment2_PS_SC,3,0,19,3,5,-12.95,17.350783594928057,5.4867995348657,10,10.754127088336773
66,Experiment2_PS_SC,3,0,19,3,6,-0.04999999999999964,19.80959519345095,6.2643440337228835,10,12.278114306096855
67,Experiment2_PS_SC,3,0,19,3,7,-12.25,24.430962191044525,7.725748595315842,10,15.14246724681905
